Date,BAJAJELEC,upper,lower
2018-03-15,612.45,630.8182778332007,491.9174364525138
2018-03-16,586.35,629.7068360171093,504.5645925543195
2018-03-19,557.55,628.1634972313443,510.17221705437004
2018-03-20,553.35,627.504454110721,512.7241173178505
2018-03-21,550.7,625.0630237175059,518.4726905682086
2018-03-22,535.2,625.2968032611597,517.9889110245548
2018-03-23,532.15,626.8313024177069,514.3972690108646
2018-03-26,561.8,626.5775060817998,513.7724939182003
2018-03-27,572.6,627.1009640222886,516.0776074062829
2018-03-28,564.1,627.0802576684725,516.0054566172419
2018-04-02,574.7,627.63649330544,516.7206495517029
2018-04-03,620.45,636.5050395227504,514.1235319058212
2018-04-04,609.0,635.8333297527845,514.409527390073
2018-04-05,618.15,634.8902162534823,514.9026408893751
2018-04-06,604.7,632.971464719478,515.7142495662365
2018-04-09,618.35,639.6074044329482,513.6497384241948
2018-04-10,622.0,647.5378637745223,514.9264219397635
2018-04-11,622.35,653.7833115394465,518.5381170319822
2018-04-12,618.65,657.4161905591978,524.6123808693734
2018-04-13,617.85,656.2654202078901,537.5702940778241
2018-04-16,618.7,650.1399339350644,556.0600660649357
2018-04-17,653.4,657.4132351085888,561.8724791771255
2018-04-18,649.4,662.2084824520417,568.048660405101
2018-04-19,644.6,660.1232028945564,581.6339399625864
2018-04-20,643.65,656.4477191766925,595.1594236804501
2018-04-23,682.0,672.8460747585,587.5539252414997
2018-04-24,666.55,679.1901969814056,589.4312315900225
2018-04-25,654.0,681.8696971583873,591.8731599844695
2018-04-26,650.95,681.6521809367688,598.6978190632309
2018-04-27,653.8,682.7482920211409,602.6659936931443
2018-04-30,656.15,683.893447598915,606.3994095439415
2018-05-02,637.05,683.0318935951852,609.3609635476712
2018-05-03,639.85,681.2649683682131,614.1564602032148
2018-05-04,637.85,678.6800575018023,619.5985139267685
2018-05-07,663.9,677.0600112110507,627.6757030746627
2018-05-08,670.6,680.1511460803378,627.0417110625186
2018-05-09,659.7,680.9566719506405,627.7076137636446
2018-05-10,635.6,681.7233632895236,625.6552081390473
2018-05-11,624.8,684.0270161827602,620.6586981029534
2018-05-14,617.7,679.556578903403,615.9434210965966
2018-05-15,608.2,679.7673843693482,607.3969013449372
2018-05-16,603.9,681.2991749249702,598.7079679321723
2018-05-17,594.8,683.1934089183605,588.7923053673533
2018-05-18,582.6,684.7223517046107,577.0919340096746
2018-05-21,596.65,681.2767343991861,572.0375513150991
2018-05-22,604.95,679.7935535812134,568.9350178473579
2018-05-23,582.6,679.1246095013502,561.4253904986496
2018-05-24,563.3,680.1029325156164,549.7970674843832
2018-05-25,566.25,671.4401176146865,544.5098823853131
2018-05-28,554.6,658.0153608775939,541.3632105509772
2018-05-29,549.65,644.7257098459477,538.9314330111947
2018-05-30,541.4,637.9775654042119,532.2224345957875
2018-05-31,533.6,632.8476917450917,524.3237368263365
2018-06-01,538.35,626.147166696938,519.6885475887757
2018-06-04,529.45,621.1018477720005,513.4838665137132
2018-06-05,491.25,622.3606774110776,496.1321797317789
2018-06-06,536.0,615.7486204503124,494.3442366925441
2018-06-07,536.35,611.002453667129,492.4832606185844
2018-06-08,524.4,601.4137537166667,491.75053199761817
2018-06-11,527.6,585.0756679284156,497.03861778586946
2018-06-12,537.9,574.8205473586265,500.908024069944
